title,Cut_List_Tier,Copies_Held_Store_1,Revenue_per_Copy_Store_1,Copies_Held_Store_2,Revenue_per_Copy_Store_2
ACADEMY DINOSAUR,Weak at both stores,4,5.22,4,3.9725
ALAMO VIDEOTAPE,Weak at both stores,4,4.9675,3,5.296666666666667
ALASKA PHANTOM,Weak at both stores,3,5.296666666666668,4,7.2125
ALTER VICTORY,Weak at both stores,3,6.623333333333334,3,4.303333333333334
AMADEUS HOLY,Weak at both stores,4,5.967499999999999,2,4.96
ANONYMOUS HUMAN,Weak at only store stocked,4,4.4675,,
ARABIA DOGMA,Weak at only store stocked,,,4,5.7175
ARMAGEDDON LOST,Weak at both stores,3,5.97,4,6.970000000000001
BALLROOM MOCKINGBIRD,Weak at only store stocked,,,2,5.460000000000001
BANGER PINOCCHIO,Weak at both stores,3,9.289999999999997,2,7.455000000000001
BEDAZZLED MARRIED,Weak at both stores,2,4.465,2,3.97
BEETHOVEN EXORCIST,Weak at only store stocked,,,3,5.63
BENEATH RUSH,Weak at only store stocked,3,5.633333333333334,,
BIRDCAGE CASPER,Weak at only store stocked,3,7.969999999999999,,
BLADE POLISH,Weak at both stores,3,6.966666666666668,3,4.63
BONNIE HOLOCAUST,Weak at only store stocked,,,4,8.209999999999999
BORROWERS BEDAZZLED,Weak at both stores,3,4.633333333333334,3,4.626666666666668
BOUND CHEAPER,Weak at both stores,4,5.974999999999999,4,6.715000000000001
BRIDE INTRIGUE,Weak at both stores,4,3.4725000000000006,2,3.9600000000000004
BULL SHAWSHANK,Weak at both stores,2,2.975,3,5.296666666666667
CANYON STOCK,Weak at both stores,4,5.467499999999999,2,2.97
CAPER MOTIONS,Weak at both stores,3,4.3100000000000005,4,6.4575000000000005
CARRIE BUNCH,Weak at both stores,4,5.712499999999999,3,3.973333333333334
CELEBRITY HORN,Weak at both stores,2,6.960000000000001,4,4.71
CHAINSAW UPTOWN,Weak at both stores,4,4.220000000000001,2,8.455000000000002
CHAPLIN LICENSE,Weak at only store stocked,3,7.973333333333334,,
CHEAPER CLYDE,Weak at both stores,2,8.46,3,6.626666666666666
CHILL LUCK,Weak at both stores,4,5.464999999999999,3,3.6400000000000006
CHRISTMAS MOONSHINE,Weak at both stores,3,5.963333333333334,3,3.6333333333333333
CITIZEN SHREK,Weak at only store stocked,4,5.467499999999999,,
CLEOPATRA DEVIL,Weak at both stores,2,6.965000000000001,3,5.300000000000001
CLOCKWORK PARADISE,Weak at only store stocked,,,3,3.966666666666667
CLYDE THEORY,Weak at only store stocked,,,3,7.973333333333333
COMANCHEROS ENEMY,Weak at only store stocked,2,4.970000000000001,,
CONGENIALITY QUEST,Weak at both stores,2,3.4650000000000003,4,8.2125
CONNECTION MICROCOSMOS,Weak at only store stocked,2,5.465000000000001,,
CRAFT OUTFIELD,Weak at both stores,2,6.95,2,3.47
CROOKED FROGMEN,Weak at both stores,3,5.633333333333334,3,8.290000000000001
CROW GREASE,Weak at both stores,2,3.47,2,5.970000000000001
CRUELTY UNFORGIVEN,Weak at only store stocked,2,3.9650000000000003,,
CURTAIN VIDEOTAPE,Weak at both stores,4,4.965000000000001,4,4.72
DANCES NONE,Weak at only store stocked,4,7.964999999999998,,
DANCING FEVER,Weak at both stores,4,7.22,4,6.7125
DECEIVER BETRAYED,Weak at both stores,4,2.9725,3,4.633333333333334
DINOSAUR SECRETARY,Weak at both stores,4,8.727500000000003,4,8.972500000000004
DISCIPLE MOTHER,Weak at both stores,4,8.965,2,2.975
DRACULA CRYSTAL,Weak at both stores,2,5.455000000000001,4,3.47
DRAGON SQUAD,Weak at only store stocked,,,4,6.972499999999999
DRUMS DYNAMITE,Weak at only store stocked,,,4,6.217499999999998
DUFFEL APOCALYPSE,Weak at only store stocked,2,3.4650000000000003,,
DUMBO LUST,Weak at only store stocked,,,2,6.970000000000001
DYNAMITE TARZAN,Weak at both stores,4,7.7225,4,7.964999999999998
EARTH VISION,Weak at both stores,3,4.300000000000001,4,5.4674999999999985
EFFECT GLADIATOR,Weak at both stores,4,7.714999999999999,3,7.630000000000002
EMPIRE MALKOVICH,Weak at both stores,4,3.9725000000000006,2,7.450000000000001
ENCINO ELF,Weak at both stores,2,5.470000000000001,4,4.2175
ENCOUNTERS CURTAIN,Weak at both stores,3,6.966666666666666,3,6.303333333333335
ENDING CROWDS,Weak at only store stocked,3,6.296666666666667,,
EVERYONE CRAFT,Weak at only store stocked,3,8.290000000000001,,
EVOLUTION ALTER,Weak at only store stocked,4,6.72,,
FACTORY DRAGON,Weak at only store stocked,4,8.2075,,
FAMILY SWEET,Weak at both stores,4,8.7125,4,8.962499999999999
FANTASY TROOPERS,Weak at both stores,4,7.210000000000001,2,8.450000000000001
FEUD FROGMEN,Weak at both stores,2,8.46,4,5.7075000000000005
FIREBALL PHILADELPHIA,Weak at both stores,4,8.2225,3,9.299999999999999
FREEDOM CLEOPATRA,Weak at only store stocked,2,2.975,,
FROGMEN BREAKING,Weak at only store stocked,,,3,5.633333333333334
